Height_cm,Weight_kg,BMI,BMI_Category,Body_Shape,Hip_Circumference_cm,Shoulder_Width_cm,Clothing_Size,Style_Preference,Recommended_Cloth_Color
169.72,73.91,25.66,Overweight,Spoon,109.13,45.19,L,Adventurous & Natural,Turquoise
156.4,62.65,25.61,Overweight,Pear,90.3,43.06,M,Calm & Classic,Forest Green
165.39,118.34,43.26,Obese,Rectangle,107.46,43.73,XXL,Calm & Classic,Forest Green
182.72,99.52,29.81,Overweight,Rectangle,96.02,42.1,XXL,Bold & Expressive,Electric Blue
167.85,60.76,21.57,Normal,Inverted Triangle,92.55,45.0,M,Adventurous & Natural,Turquoise
184.84,64.16,18.78,Normal,Spoon,95.8,47.44,XL,Calm & Classic,Mustard Yellow
185.65,100.17,29.06,Overweight,Hourglass,120.1,47.91,XXL,Adventurous & Natural,Forest Green
187.79,106.61,30.23,Obese,Pear,114.93,42.83,XXL,Calm & Classic,Brown
172.32,58.95,19.85,Normal,Pear,98.42,45.11,M,Adventurous & Natural,Mustard Yellow
155.5,113.6,46.98,Obese,Oval,109.33,39.26,L,Soft & Gentle,Brown
175.38,68.17,22.16,Normal,Diamond,88.45,38.63,S,Adventurous & Natural,Bright Orange
167.82,81.28,28.86,Overweight,Rectangle,102.28,44.95,XL,Bold & Expressive,Magenta
153.62,113.21,47.97,Obese,Rectangle,114.63,45.6,XL,Bold & Expressive,Orange
158.27,51.63,20.61,Normal,Inverted Triangle,83.67,47.52,M,Calm & Classic,Mustard Yellow
161.91,63.7,24.3,Normal,Pear,99.02,41.66,M,Soft & Gentle,Black
153.73,95.64,40.47,Obese,Pear,125.33,39.28,M,Soft & Gentle,Baby Pink
184.04,102.12,30.15,Obese,Inverted Triangle,90.98,48.21,XXL,Soft & Gentle,Black
170.14,77.99,26.94,Overweight,Apple,112.36,45.33,XL,Soft & Gentle,Grey
188.2,70.41,19.88,Normal,Pear,113.54,38.99,M,Calm & Classic,Lavender
172.87,102.36,34.25,Obese,Athletic,102.47,52.07,XXL,Soft & Gentle,Brown
162.17,64.16,24.4,Normal,Spoon,108.34,46.75,L,Soft & Gentle,Cream
186.16,89.36,25.79,Overweight,Inverted Triangle,94.35,43.66,XXL,Soft & Gentle,Brown
160.69,47.54,18.41,Underweight,Inverted Triangle,92.63,45.16,XS,Adventurous & Natural,Electric Blue
180.67,55.69,17.06,Underweight,Hourglass,115.89,39.46,S,Adventurous & Natural,Maroon
175.6,94.06,30.5,Obese,Rectangle,111.22,44.95,XXL,Soft & Gentle,Beige
162.46,56.24,21.31,Normal,Rectangle,86.78,40.74,M,Soft & Gentle,Lavender
158.4,61.7,24.59,Normal,Inverted Triangle,82.35,40.68,M,Bold & Expressive,Red
186.99,110.36,31.56,Obese,Spoon,112.19,43.93,XXL,Bold & Expressive,Maroon
173.92,63.93,21.14,Normal,Hourglass,97.39,47.21,L,Adventurous & Natural,Khaki
151.25,86.66,37.88,Obese,Hourglass,103.28,42.35,XL,Adventurous & Natural,Red
157.81,45.79,18.39,Underweight,Oval,95.24,44.58,XS,Bold & Expressive,Gold
171.06,74.37,25.42,Overweight,Inverted Triangle,107.57,44.98,XL,Calm & Classic,White
150.38,106.01,46.88,Obese,Diamond,108.04,46.27,XXL,Soft & Gentle,Beige
184.54,48.05,14.11,Underweight,Diamond,82.08,42.34,S,Adventurous & Natural,Yellow
156.4,99.96,40.87,Obese,Inverted Triangle,86.45,42.9,XL,Bold & Expressive,Coral
166.27,113.1,40.91,Obese,Rectangle,95.12,42.29,XXL,Bold & Expressive,Orange
150.42,74.25,32.82,Obese,Diamond,100.83,40.35,L,Adventurous & Natural,Forest Green
163.18,119.23,44.78,Obese,Rectangle,112.34,45.29,XXL,Calm & Classic,Navy
183.63,66.3,19.66,Normal,Hourglass,114.54,39.45,M,Calm & Classic,Teal
183.47,110.38,32.79,Obese,Athletic,106.79,50.03,XXL,Adventurous & Natural,Turquoise
155.51,104.11,43.05,Obese,Spoon,109.18,39.91,L,Calm & Classic,Lavender
179.18,106.26,33.1,Obese,Diamond,102.37,39.76,XL,Bold & Expressive,Coral
166.25,86.44,31.27,Obese,Inverted Triangle,106.91,47.99,XXL,Calm & Classic,Terracotta
153.1,61.21,26.11,Overweight,Pear,109.09,41.8,M,Soft & Gentle,Cream
184.03,98.04,28.95,Overweight,Hourglass,122.61,43.06,XXL,Adventurous & Natural,Turquoise
153.15,96.61,41.19,Obese,Oval,116.97,42.51,XL,Calm & Classic,Rust
180.03,106.64,32.9,Obese,Hourglass,120.53,40.92,XXL,Soft & Gentle,Cream
173.47,106.63,35.43,Obese,Rectangle,96.27,46.63,XXL,Adventurous & Natural,Turquoise
181.88,62.04,18.75,Normal,Apple,111.22,46.7,XL,Calm & Classic,Blue
163.92,74.89,27.87,Overweight,Pear,102.75,42.79,M,Soft & Gentle,White
168.59,53.8,18.93,Normal,Diamond,93.3,41.44,S,Bold & Expressive,Magenta
151.18,69.7,30.5,Obese,Athletic,88.71,50.09,XL,Bold & Expressive,Gold
170.36,118.0,40.66,Obese,Oval,108.0,43.24,XXL,Bold & Expressive,Orange
164.75,88.54,32.62,Obese,Hourglass,112.55,41.56,XXL,Adventurous & Natural,Fuchsia
154.09,58.22,24.52,Normal,Oval,110.64,38.69,XS,Soft & Gentle,Black
167.94,78.82,27.95,Overweight,Hourglass,107.1,46.2,XL,Bold & Expressive,Lime Green
182.67,98.08,29.39,Overweight,Athletic,92.97,45.7,XXL,Adventurous & Natural,Olive Green
169.11,96.68,33.81,Obese,Spoon,104.41,40.35,XXL,Calm & Classic,Terracotta
152.24,113.99,49.18,Obese,Apple,103.61,39.43,XL,Adventurous & Natural,Olive Green
168.89,104.35,36.58,Obese,Rectangle,108.06,43.61,XXL,Bold & Expressive,Magenta
166.41,68.33,24.67,Normal,Apple,98.25,43.09,M,Calm & Classic,Green
163.81,72.9,27.17,Overweight,Spoon,123.24,46.7,XL,Adventurous & Natural,Gold
179.3,58.89,18.32,Underweight,Hourglass,112.49,41.66,S,Soft & Gentle,Mint Green
152.44,92.42,39.77,Obese,Athletic,112.98,46.1,XXL,Bold & Expressive,Orange
173.16,74.42,24.82,Normal,Apple,103.82,38.97,M,Adventurous & Natural,Terracotta
189.97,69.6,19.29,Normal,Rectangle,100.35,41.21,L,Bold & Expressive,Magenta
159.53,48.99,19.25,Normal,Rectangle,93.71,42.51,XS,Adventurous & Natural,Red
164.22,70.43,26.12,Overweight,Rectangle,105.93,45.57,L,Calm & Classic,Cream
155.44,67.01,27.73,Overweight,Hourglass,107.43,39.28,S,Calm & Classic,Teal
163.75,83.1,30.99,Obese,Oval,108.5,44.59,XXL,Adventurous & Natural,Gold
156.3,79.37,32.49,Obese,Rectangle,107.57,41.06,L,Calm & Classic,Grey
187.49,119.64,34.03,Obese,Hourglass,127.81,41.79,XXL,Soft & Gentle,Grey
178.72,66.5,20.82,Normal,Apple,111.0,47.81,XL,Soft & Gentle,Baby Pink
164.4,73.55,27.21,Overweight,Spoon,104.74,46.46,XL,Adventurous & Natural,Electric Blue
184.64,111.81,32.8,Obese,Pear,128.6,42.64,XXL,Calm & Classic,Green
152.69,54.97,23.58,Normal,Pear,111.23,42.28,XS,Calm & Classic,Purple
165.31,90.92,33.27,Obese,Athletic,105.5,41.82,XXL,Soft & Gentle,Beige
178.88,92.61,28.94,Overweight,Diamond,113.32,43.83,XL,Calm & Classic,Lavender
183.93,46.09,13.62,Underweight,Inverted Triangle,96.4,50.18,M,Soft & Gentle,Grey
188.32,69.54,19.61,Normal,Rectangle,91.52,46.54,XL,Adventurous & Natural,Electric Blue
172.21,59.16,19.95,Normal,Spoon,102.83,42.27,M,Bold & Expressive,Bright Orange
154.96,78.03,32.5,Obese,Pear,96.14,37.08,M,Calm & Classic,Grey
164.67,78.67,29.01,Overweight,Athletic,86.85,50.98,XL,Calm & Classic,Lavender
171.65,66.99,22.74,Normal,Hourglass,103.87,38.99,S,Bold & Expressive,Electric Blue
155.08,99.04,41.18,Obese,Diamond,111.22,41.49,XL,Adventurous & Natural,Maroon
171.48,91.5,31.12,Obese,Oval,100.05,46.01,XXL,Adventurous & Natural,Gold
180.78,109.11,33.39,Obese,Pear,110.36,45.28,XXL,Calm & Classic,White
151.94,60.4,26.16,Overweight,Oval,111.68,43.85,M,Calm & Classic,Green
183.73,60.35,17.88,Underweight,Athletic,85.59,46.42,XL,Calm & Classic,Grey
182.17,62.93,18.96,Normal,Inverted Triangle,85.88,46.94,XL,Soft & Gentle,Pale Yellow
175.85,91.79,29.68,Overweight,Pear,102.79,41.11,XL,Adventurous & Natural,Lime Green
172.39,106.53,35.85,Obese,Inverted Triangle,98.31,51.88,XXL,Bold & Expressive,Gold
159.54,63.35,24.89,Normal,Inverted Triangle,91.5,41.78,M,Bold & Expressive,Red
183.07,82.23,24.54,Normal,Athletic,95.48,50.33,XXL,Calm & Classic,Rust
151.18,57.68,25.24,Overweight,Athletic,84.97,49.2,XL,Adventurous & Natural,Red
162.69,90.93,34.35,Obese,Diamond,103.41,38.2,XL,Soft & Gentle,Beige
188.09,111.77,31.59,Obese,Hourglass,130.0,40.05,XXL,Adventurous & Natural,Khaki
177.16,114.36,36.44,Obese,Inverted Triangle,87.31,47.89,XXL,Bold & Expressive,Electric Blue
165.41,69.99,25.58,Overweight,Inverted Triangle,85.69,46.34,XL,Bold & Expressive,Gold
171.9,93.39,31.6,Obese,Oval,108.08,40.25,XXL,Calm & Classic,Forest Green
166.52,46.91,16.92,Underweight,Diamond,81.14,40.08,XS,Calm & Classic,Mustard Yellow
168.13,69.67,24.65,Normal,Apple,118.77,41.9,M,Soft & Gentle,Mint Green
158.56,72.08,28.67,Overweight,Athletic,91.57,49.42,XL,Calm & Classic,Brown
150.95,108.12,47.45,Obese,Apple,108.8,42.55,XL,Calm & Classic,Green
164.73,109.43,40.33,Obese,Diamond,115.51,41.62,XXL,Soft & Gentle,Beige
164.62,113.52,41.89,Obese,Pear,115.24,39.38,XL,Bold & Expressive,Gold
187.12,62.75,17.92,Underweight,Apple,93.27,48.83,XL,Soft & Gentle,Brown
158.17,54.45,21.76,Normal,Oval,99.71,37.64,XS,Calm & Classic,Rust
157.86,109.7,44.02,Obese,Pear,116.44,43.92,XL,Bold & Expressive,Electric Blue
183.72,119.92,35.53,Obese,Inverted Triangle,87.36,41.92,XXL,Soft & Gentle,Beige
155.28,66.94,27.76,Overweight,Athletic,105.62,40.36,M,Adventurous & Natural,Olive Green
178.09,47.24,14.89,Underweight,Spoon,104.68,44.43,XS,Calm & Classic,Olive Green
152.94,54.12,23.14,Normal,Rectangle,86.31,39.62,XS,Calm & Classic,Blue
177.79,73.5,23.25,Normal,Rectangle,91.93,38.4,S,Bold & Expressive,Coral
169.2,100.33,35.05,Obese,Oval,120.86,39.3,XL,Calm & Classic,Beige
152.58,77.19,33.16,Obese,Pear,109.47,35.11,M,Bold & Expressive,Red
187.03,79.12,22.62,Normal,Pear,105.79,46.48,XL,Adventurous & Natural,Mustard Yellow
177.78,108.42,34.3,Obese,Diamond,100.01,45.47,XXL,Bold & Expressive,Bright Orange
160.7,87.31,33.81,Obese,Oval,113.5,37.9,XL,Bold & Expressive,Turquoise
154.6,68.48,28.65,Overweight,Rectangle,105.22,39.0,S,Calm & Classic,Green
151.69,45.74,19.88,Normal,Athletic,101.86,46.54,M,Soft & Gentle,Lavender
154.52,107.82,45.16,Obese,Apple,114.91,40.79,XL,Soft & Gentle,Cream
152.94,49.89,21.33,Normal,Oval,106.45,38.46,XS,Adventurous & Natural,Rust
152.91,89.25,38.17,Obese,Athletic,100.36,43.95,XL,Calm & Classic,Cream
168.63,103.75,36.49,Obese,Diamond,112.46,41.33,XXL,Calm & Classic,Grey
156.67,119.27,48.59,Obese,Hourglass,122.44,39.85,L,Bold & Expressive,Bright Orange
153.56,95.62,40.55,Obese,Hourglass,117.44,46.96,XXL,Adventurous & Natural,Orange
188.05,100.38,28.39,Overweight,Inverted Triangle,93.3,44.66,XXL,Adventurous & Natural,Rust
170.32,84.03,28.97,Overweight,Spoon,106.22,47.2,XXL,Calm & Classic,Purple
180.78,113.82,34.83,Obese,Diamond,99.29,45.82,XXL,Soft & Gentle,Peach
157.99,76.95,30.83,Obese,Rectangle,94.09,44.82,L,Adventurous & Natural,Maroon
172.59,59.45,19.96,Normal,Hourglass,98.43,47.04,L,Adventurous & Natural,Terracotta
188.04,69.05,19.53,Normal,Athletic,107.58,51.14,XL,Bold & Expressive,Magenta
175.28,109.98,35.8,Obese,Pear,115.84,41.06,XL,Soft & Gentle,Peach
171.49,100.26,34.09,Obese,Spoon,110.6,41.3,XXL,Adventurous & Natural,Turquoise
177.74,114.26,36.17,Obese,Hourglass,129.57,40.92,XXL,Calm & Classic,Brown
164.61,53.98,19.92,Normal,Athletic,91.64,50.01,M,Calm & Classic,Teal
165.74,88.49,32.21,Obese,Apple,102.76,39.34,XL,Bold & Expressive,Yellow
181.35,115.97,35.26,Obese,Rectangle,96.7,39.18,XXL,Bold & Expressive,Turquoise
188.54,76.33,21.47,Normal,Inverted Triangle,101.88,47.64,XL,Soft & Gentle,Peach
187.95,96.15,27.22,Overweight,Athletic,94.47,52.1,XXL,Calm & Classic,Lavender
179.72,70.38,21.79,Normal,Diamond,91.59,40.1,M,Bold & Expressive,Bright Orange
178.02,115.13,36.33,Obese,Pear,127.1,40.73,XL,Bold & Expressive,Turquoise
185.41,88.75,25.82,Overweight,Apple,116.58,46.84,XXL,Adventurous & Natural,Lime Green
184.36,80.09,23.56,Normal,Spoon,105.78,38.92,L,Soft & Gentle,Mint Green
150.36,73.37,32.45,Obese,Spoon,102.25,39.08,M,Adventurous & Natural,Fuchsia
154.67,92.46,38.65,Obese,Inverted Triangle,100.08,48.77,XXL,Bold & Expressive,Fuchsia
169.4,105.54,36.78,Obese,Diamond,106.94,40.4,XXL,Soft & Gentle,Baby Pink
157.99,117.0,46.87,Obese,Rectangle,101.81,43.91,XL,Soft & Gentle,Peach
169.72,98.77,34.29,Obese,Spoon,107.28,42.28,XXL,Bold & Expressive,Gold
167.19,76.71,27.44,Overweight,Hourglass,92.14,38.06,M,Soft & Gentle,Beige
177.61,106.08,33.63,Obese,Pear,123.45,40.22,XL,Adventurous & Natural,Terracotta
180.28,76.86,23.65,Normal,Athletic,100.55,47.23,XL,Bold & Expressive,Red
184.26,64.29,18.94,Normal,Rectangle,107.73,46.61,XL,Adventurous & Natural,Forest Green
166.35,102.98,37.21,Obese,Apple,116.43,39.47,XL,Bold & Expressive,Turquoise
167.02,76.98,27.6,Overweight,Hourglass,109.01,42.87,L,Bold & Expressive,Coral
162.64,48.33,18.27,Underweight,Athletic,102.47,48.1,M,Bold & Expressive,Fuchsia
152.95,96.32,41.17,Obese,Hourglass,104.78,38.89,L,Adventurous & Natural,Orange
162.9,74.96,28.25,Overweight,Spoon,101.61,46.57,XL,Soft & Gentle,Pale Yellow
164.61,67.21,24.8,Normal,Apple,99.39,40.67,M,Calm & Classic,Grey
171.59,105.39,35.79,Obese,Diamond,102.5,44.91,XXL,Calm & Classic,Mustard Yellow
188.55,61.92,17.42,Underweight,Apple,111.42,44.08,M,Calm & Classic,Teal
159.8,78.11,30.59,Obese,Oval,95.39,39.15,M,Calm & Classic,Olive Green
181.14,51.94,15.83,Underweight,Inverted Triangle,95.88,43.12,M,Calm & Classic,Brown
167.59,66.15,23.55,Normal,Pear,105.21,37.54,XS,Adventurous & Natural,Fuchsia
150.78,116.28,51.15,Obese,Pear,123.1,39.97,M,Bold & Expressive,Turquoise
158.58,117.02,46.53,Obese,Oval,110.26,43.82,XL,Soft & Gentle,Brown
160.93,45.35,17.51,Underweight,Apple,112.08,45.02,XS,Soft & Gentle,Light Blue
163.55,65.1,24.34,Normal,Rectangle,92.83,39.82,S,Bold & Expressive,Turquoise
152.68,109.48,46.96,Obese,Oval,117.56,43.93,XL,Adventurous & Natural,Fuchsia
157.23,70.13,28.37,Overweight,Spoon,119.33,42.91,M,Soft & Gentle,Peach
166.1,96.94,35.14,Obese,Oval,117.52,45.92,XXL,Calm & Classic,Black
177.43,89.53,28.44,Overweight,Diamond,104.91,44.4,XL,Adventurous & Natural,Gold
162.02,74.63,28.43,Overweight,Oval,92.62,44.67,L,Bold & Expressive,Electric Blue
152.4,70.37,30.3,Obese,Pear,100.72,44.07,M,Bold & Expressive,Electric Blue
172.39,51.75,17.41,Underweight,Athletic,94.67,50.47,M,Bold & Expressive,Orange
180.02,99.71,30.77,Obese,Diamond,114.8,46.51,XXL,Bold & Expressive,Fuchsia
188.49,61.48,17.3,Underweight,Inverted Triangle,86.72,52.23,XL,Calm & Classic,Blue
153.87,84.2,35.56,Obese,Oval,98.29,39.48,L,Soft & Gentle,Baby Pink
160.75,60.58,23.44,Normal,Apple,114.56,44.53,M,Soft & Gentle,Lavender
163.46,114.07,42.69,Obese,Oval,116.76,39.33,XL,Calm & Classic,Grey
167.87,113.9,40.42,Obese,Diamond,108.11,47.53,XXL,Bold & Expressive,Maroon
169.9,99.67,34.53,Obese,Hourglass,109.91,38.28,XL,Soft & Gentle,Baby Pink
176.78,100.24,32.08,Obese,Hourglass,123.59,39.77,XL,Soft & Gentle,Black
176.3,54.2,17.44,Underweight,Apple,117.21,40.21,XS,Soft & Gentle,Pale Yellow
157.0,66.4,26.94,Overweight,Apple,104.59,46.62,XL,Adventurous & Natural,Terracotta
167.98,114.08,40.43,Obese,Oval,126.27,41.96,XXL,Calm & Classic,Terracotta
178.34,107.96,33.94,Obese,Apple,112.83,41.94,XXL,Bold & Expressive,Coral
152.06,104.72,45.29,Obese,Inverted Triangle,111.75,40.35,XL,Calm & Classic,Teal
163.63,87.25,32.59,Obese,Diamond,89.83,47.47,XXL,Bold & Expressive,Lime Green
162.64,87.01,32.89,Obese,Hourglass,113.97,40.46,XXL,Calm & Classic,Rust
169.57,66.06,22.97,Normal,Athletic,99.5,46.31,XL,Bold & Expressive,Coral
175.24,93.17,30.34,Obese,Diamond,104.52,40.4,XXL,Adventurous & Natural,Orange
160.89,89.55,34.59,Obese,Rectangle,98.01,40.02,XXL,Soft & Gentle,Grey
170.44,116.25,40.02,Obese,Diamond,98.39,44.3,XXL,Bold & Expressive,Turquoise
165.34,107.41,39.29,Obese,Pear,116.63,40.92,XL,Calm & Classic,Terracotta
167.46,98.13,34.99,Obese,Inverted Triangle,110.49,45.47,XXL,Bold & Expressive,Electric Blue
159.38,77.12,30.36,Obese,Athletic,87.22,46.2,XL,Soft & Gentle,Peach
155.6,119.86,49.51,Obese,Inverted Triangle,109.34,45.65,XL,Soft & Gentle,Grey
160.43,112.14,43.57,Obese,Pear,99.45,44.52,XL,Calm & Classic,Green
184.41,101.36,29.81,Overweight,Apple,105.14,43.53,XXL,Bold & Expressive,Red
153.69,94.08,39.83,Obese,Diamond,95.88,39.7,L,Bold & Expressive,Electric Blue
173.72,77.84,25.79,Overweight,Apple,110.88,38.52,M,Bold & Expressive,Electric Blue
170.38,72.36,24.93,Obese,Oval,113.75,44.61,XL,Bold & Expressive,Maroon
185.19,87.62,25.55,Overweight,Inverted Triangle,86.56,47.68,XXL,Adventurous & Natural,Turquoise
152.62,71.22,30.58,Obese,Pear,102.73,35.0,M,Adventurous & Natural,Mustard Yellow
167.99,109.87,38.93,Obese,Inverted Triangle,99.29,51.29,XXL,Adventurous & Natural,Olive Green
177.11,54.18,17.27,Underweight,Oval,111.08,45.62,XS,Bold & Expressive,Magenta
164.89,114.91,42.26,Obese,Athletic,99.48,45.21,XXL,Calm & Classic,Grey
181.18,45.98,14.01,Underweight,Athletic,97.84,51.44,M,Adventurous & Natural,Electric Blue
170.37,70.74,24.37,Normal,Apple,107.54,46.39,XL,Adventurous & Natural,Lime Green
159.09,111.96,44.24,Obese,Rectangle,101.1,47.09,XXL,Calm & Classic,Blue
161.21,47.5,18.28,Underweight,Pear,109.63,43.61,XS,Soft & Gentle,Black
174.94,107.05,34.98,Obese,Rectangle,92.59,43.64,XXL,Calm & Classic,Khaki
170.64,113.48,38.97,Obese,Apple,113.86,38.95,XL,Bold & Expressive,Coral
166.33,63.74,23.04,Normal,Athletic,103.14,51.02,XL,Soft & Gentle,Peach
160.73,46.98,18.19,Underweight,Pear,112.91,42.44,XS,Soft & Gentle,Grey
154.84,119.27,49.75,Obese,Spoon,106.01,43.26,XL,Calm & Classic,Mustard Yellow
185.39,69.13,20.11,Normal,Apple,117.62,41.2,XL,Bold & Expressive,Gold
169.14,82.02,28.67,Overweight,Rectangle,108.13,43.54,XL,Bold & Expressive,Fuchsia
153.82,117.66,49.73,Obese,Apple,109.48,45.08,XL,Calm & Classic,Mustard Yellow
168.29,82.25,29.04,Overweight,Apple,107.82,38.54,XL,Adventurous & Natural,Electric Blue
182.72,71.11,21.3,Normal,Inverted Triangle,87.69,53.36,XL,Soft & Gentle,Pale Yellow
184.62,70.71,20.75,Normal,Pear,111.11,37.24,M,Adventurous & Natural,Bright Orange
170.54,74.02,25.45,Overweight,Spoon,111.32,40.56,L,Calm & Classic,Brown
181.43,71.33,21.67,Normal,Pear,100.6,37.73,M,Soft & Gentle,Lavender
182.08,107.17,32.33,Obese,Spoon,110.42,46.44,XXL,Soft & Gentle,Peach
188.86,63.14,17.7,Underweight,Pear,110.35,45.94,M,Bold & Expressive,Bright Orange
151.42,72.5,31.62,Obese,Pear,98.45,43.14,M,Soft & Gentle,Mint Green
168.35,78.12,27.56,Overweight,Diamond,101.66,47.58,XL,Bold & Expressive,Electric Blue
175.37,56.85,18.49,Underweight,Apple,111.12,45.36,M,Calm & Classic,Brown
188.44,104.76,29.5,Overweight,Inverted Triangle,102.79,43.59,XXL,Adventurous & Natural,Red
179.34,110.72,34.42,Obese,Athletic,105.92,44.6,XXL,Adventurous & Natural,Bright Orange
183.12,55.72,16.62,Underweight,Spoon,98.96,48.31,L,Bold & Expressive,Bright Orange
177.69,111.83,35.42,Obese,Oval,110.6,41.8,XXL,Calm & Classic,White
166.93,95.05,34.11,Obese,Hourglass,118.71,45.85,XXL,Bold & Expressive,Lime Green
186.74,91.86,26.34,Overweight,Inverted Triangle,103.15,44.09,XXL,Calm & Classic,Olive Green
176.67,58.22,18.65,Normal,Pear,120.11,37.22,XS,Calm & Classic,Navy
176.66,80.44,25.77,Overweight,Inverted Triangle,85.26,40.83,XL,Bold & Expressive,Turquoise
163.17,108.17,40.63,Obese,Inverted Triangle,90.02,41.74,XXL,Calm & Classic,Grey
184.2,91.25,26.89,Overweight,Oval,102.58,44.57,XXL,Adventurous & Natural,Yellow
156.2,93.52,38.33,Obese,Pear,119.11,41.17,XL,Adventurous & Natural,Magenta
158.68,71.49,28.39,Overweight,Pear,107.47,36.14,XS,Soft & Gentle,Baby Pink
152.4,67.92,29.24,Overweight,Apple,96.87,39.56,M,Adventurous & Natural,Maroon
183.67,100.84,29.89,Overweight,Inverted Triangle,101.48,47.03,XXL,Calm & Classic,Forest Green
178.03,96.09,30.32,Obese,Oval,117.75,43.9,XXL,Soft & Gentle,Peach
183.48,100.28,29.79,Overweight,Spoon,118.13,41.34,XXL,Calm & Classic,Green
150.11,106.61,47.31,Obese,Hourglass,128.19,39.29,L,Soft & Gentle,Mint Green
185.96,92.96,26.88,Overweight,Hourglass,112.68,39.06,XL,Adventurous & Natural,Olive Green
185.16,59.22,17.27,Underweight,Oval,118.06,39.55,S,Adventurous & Natural,Terracotta
183.56,70.38,20.89,Normal,Hourglass,108.59,42.66,L,Soft & Gentle,Black
157.04,117.03,47.45,Obese,Hourglass,119.47,37.81,L,Calm & Classic,White
186.47,83.64,24.05,Normal,Apple,124.18,44.57,XL,Bold & Expressive,Coral
172.89,92.57,30.97,Obese,Apple,108.34,43.27,XXL,Bold & Expressive,Yellow
168.67,96.56,33.94,Obese,Athletic,98.16,44.61,XXL,Adventurous & Natural,Terracotta
159.55,65.52,25.74,Overweight,Diamond,102.41,41.16,M,Calm & Classic,Rust
180.37,114.77,35.28,Obese,Spoon,103.61,46.95,XXL,Calm & Classic,Rust
157.42,70.46,28.43,Overweight,Rectangle,86.12,42.53,M,Soft & Gentle,Light Blue
161.38,89.44,34.34,Obese,Apple,106.48,42.01,XXL,Adventurous & Natural,Yellow
176.54,96.35,30.91,Obese,Spoon,125.9,46.39,XXL,Soft & Gentle,Brown
176.33,99.21,31.91,Obese,Apple,123.51,38.66,XL,Soft & Gentle,White
189.29,58.58,16.35,Underweight,Diamond,85.3,40.39,M,Calm & Classic,Terracotta
162.31,103.43,39.26,Obese,Apple,125.42,43.88,XXL,Calm & Classic,Rust
181.51,57.63,17.49,Underweight,Rectangle,98.33,44.12,M,Soft & Gentle,Black
169.39,62.98,21.95,Normal,Hourglass,117.28,47.73,L,Bold & Expressive,Orange
170.42,86.3,29.71,Overweight,Hourglass,108.03,40.35,XL,Adventurous & Natural,Mustard Yellow
166.33,109.45,39.56,Obese,Rectangle,103.75,46.6,XXL,Calm & Classic,Beige
170.16,116.99,40.4,Obese,Oval,117.89,41.88,XXL,Calm & Classic,Forest Green
155.25,54.54,22.63,Normal,Inverted Triangle,87.85,43.13,XS,Calm & Classic,Lavender
177.91,79.93,25.25,Overweight,Diamond,101.03,41.42,L,Soft & Gentle,Beige
163.07,57.61,21.66,Normal,Diamond,87.19,37.74,S,Soft & Gentle,Beige
155.61,75.87,31.33,Obese,Diamond,98.38,44.88,L,Bold & Expressive,Yellow
189.63,99.48,27.66,Overweight,Inverted Triangle,103.95,45.7,XXL,Bold & Expressive,Gold
178.31,69.37,21.82,Normal,Diamond,101.89,40.57,M,Adventurous & Natural,Maroon
159.88,117.17,45.84,Obese,Diamond,117.81,46.55,XXL,Soft & Gentle,Brown
156.84,111.86,45.47,Obese,Spoon,120.9,47.08,XXL,Bold & Expressive,Electric Blue
164.49,71.21,26.32,Overweight,Rectangle,90.79,38.24,M,Soft & Gentle,Pale Yellow
187.76,106.97,30.34,Obese,Oval,119.14,39.6,XXL,Bold & Expressive,Lime Green
185.32,96.37,28.06,Overweight,Rectangle,110.03,43.6,XXL,Soft & Gentle,Black
175.74,47.43,15.36,Underweight,Hourglass,109.32,46.65,S,Bold & Expressive,Turquoise
169.77,46.27,16.05,Underweight,Inverted Triangle,75.0,46.05,M,Bold & Expressive,Electric Blue
182.13,56.81,17.13,Underweight,Hourglass,104.4,41.7,M,Soft & Gentle,Lavender
171.64,72.89,24.74,Normal,Athletic,92.6,45.84,M,Bold & Expressive,Turquoise
182.95,99.28,29.66,Overweight,Apple,101.89,40.45,XXL,Calm & Classic,Brown
165.45,94.79,34.63,Obese,Hourglass,114.1,43.45,XXL,Bold & Expressive,Lime Green
175.9,53.39,17.26,Underweight,Pear,114.93,39.06,XS,Calm & Classic,Khaki
152.07,90.96,39.33,Obese,Pear,102.84,40.49,XL,Calm & Classic,Black
155.21,50.38,20.91,Normal,Apple,109.66,44.15,XS,Adventurous & Natural,Mustard Yellow
168.14,86.63,30.64,Obese,Oval,99.19,40.86,XXL,Bold & Expressive,Turquoise
166.56,92.8,33.45,Obese,Diamond,92.66,44.99,XXL,Bold & Expressive,Fuchsia
166.96,108.32,38.86,Obese,Athletic,114.9,53.67,XXL,Calm & Classic,Forest Green
165.55,99.34,36.25,Obese,Oval,126.6,39.14,XL,Soft & Gentle,Baby Pink
153.7,66.2,28.02,Overweight,Athletic,102.56,45.87,M,Bold & Expressive,Electric Blue
158.18,92.02,36.78,Obese,Spoon,125.31,41.35,XL,Bold & Expressive,Fuchsia
151.56,52.36,22.79,Normal,Pear,104.02,41.96,XS,Bold & Expressive,Orange
160.35,98.0,38.11,Obese,Pear,122.75,40.15,XL,Calm & Classic,Black
155.45,105.36,43.6,Obese,Pear,102.12,45.83,XL,Calm & Classic,White
157.2,87.38,35.36,Obese,Spoon,124.49,46.35,XXL,Adventurous & Natural,Yellow
